scenario,dataset,algorithm,total_submitted,total_completed,edge_completed,cloud_completed,total_incomplete,completion_ratio,edge_execution_ratio,cloud_execution_ratio,avg_waiting_time,avg_execution_time,avg_turnaround_time,avg_wall_clock_time,makespan,throughput,avg_cost,runner_wall_clock_ms,run_file
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,Lottery,298,298,298,0,0,1.0,1.0,0.0,36310.251,762.3167,37072.5677,37072.5677,87230.93,0.0034,1219.7067,152,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,FCFS,298,298,298,0,0,1.0,1.0,0.0,97840.6372,661.9993,98502.6365,98502.6365,197275.79,0.0015,1059.1989,97,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,LoadAware,298,298,298,0,0,1.0,1.0,0.0,20831.0051,715.0615,21546.0666,21546.0666,63265.35,0.0047,1144.0984,89,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,QCLAR,298,298,298,0,0,1.0,1.0,0.0,20670.8449,708.6482,21379.493,21379.493,56938.84,0.0052,1133.837,66,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv,QCLAAR,298,298,298,0,0,1.0,1.0,0.0,20670.8449,708.6482,21379.493,21379.493,56938.84,0.0052,1133.837,59,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,Lottery,1133,1133,1133,0,0,1.0,1.0,0.0,306636.5698,1713.8689,308350.4387,308350.4387,653199.35,0.0017,2742.1903,127,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,FCFS,1133,1133,1133,0,0,1.0,1.0,0.0,833153.2232,1521.4151,834674.6383,834674.6383,1723763.32,0.0007,2434.2642,108,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,LoadAware,1133,1133,1133,0,0,1.0,1.0,0.0,179590.106,1621.4964,181211.6024,181211.6024,451395.96,0.0025,2594.3943,135,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,112,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv,QCLAAR,1133,1133,1133,0,0,1.0,1.0,0.0,179791.2822,1626.5665,181417.8486,181417.8486,469156.98,0.0024,2602.5063,107,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,Lottery,5818,5818,0,5818,0,1.0,0.0,1.0,7118235.9637,10931.024,7129166.9877,7129166.9877,16046720.0,0.0004,17489.6384,3919,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,FCFS,5818,5818,0,5818,0,1.0,0.0,1.0,122201757.4023,42106.8231,122243864.2254,122243864.2254,244977497.04,0.0,67370.917,3853,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,LoadAware,5818,5818,0,5818,0,1.0,0.0,1.0,9494714.8954,19803.2613,9514518.1566,9514518.1566,39901714.68,0.0001,31685.218,3752,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,QCLAR,5818,5818,0,5818,0,1.0,0.0,1.0,7109072.0762,11834.2306,7120906.3068,7120906.3068,16918449.74,0.0003,18934.769,6109,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
no_stress,MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv,QCLAAR,5818,5818,0,5818,0,1.0,0.0,1.0,7017250.0841,11783.5243,7029033.6084,7029033.6084,15757402.24,0.0004,18853.6389,6977,iQuantumSummary-no_stress-15-04-2026_15-09-10.csv
