scenario,dataset,algorithm,total_submitted,total_completed,edge_completed,cloud_completed,total_incomplete,completion_ratio,edge_execution_ratio,cloud_execution_ratio,avg_waiting_time,avg_execution_time,avg_turnaround_time,avg_wall_clock_time,makespan,throughput,avg_cost,runner_wall_clock_ms
"no_stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","Lottery",298,298,298,0,0,1.0000,1.0000,0.0000,38609.3279,775.0777,39384.4056,39384.4056,108378.1900,0.0027,1240.1243,163
"no_stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","FCFS",298,298,298,0,0,1.0000,1.0000,0.0000,97840.6372,661.9993,98502.6365,98502.6365,197275.7900,0.0015,1059.1989,70
"no_stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","LoadAware",298,298,298,0,0,1.0000,1.0000,0.0000,20831.0051,715.0615,21546.0666,21546.0666,63265.3500,0.0047,1144.0984,55
"no_stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","QCLAR",298,298,298,0,0,1.0000,1.0000,0.0000,20670.8449,708.6482,21379.4930,21379.4930,56938.8400,0.0052,1133.8370,52
"no_stress","MQT-Set01-298-10-27-IBMQ27-Opt3-Extra.csv","QCLAAR",298,298,298,0,0,1.0000,1.0000,0.0000,20670.8449,708.6482,21379.4930,21379.4930,56938.8400,0.0052,1133.8370,40
"no_stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","Lottery",1133,1133,1133,0,0,1.0000,1.0000,0.0000,305810.0500,1697.0910,307507.1410,307507.1410,887977.1800,0.0013,2715.3456,128
"no_stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","FCFS",1133,1133,1133,0,0,1.0000,1.0000,0.0000,833153.2232,1521.4151,834674.6383,834674.6383,1723763.3200,0.0007,2434.2642,108
"no_stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","LoadAware",1133,1133,1133,0,0,1.0000,1.0000,0.0000,179590.1060,1621.4964,181211.6024,181211.6024,451395.9600,0.0025,2594.3943,103
"no_stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","QCLAR",1133,1133,1133,0,0,1.0000,1.0000,0.0000,179791.2822,1626.5665,181417.8486,181417.8486,469156.9800,0.0024,2602.5063,118
"no_stress","MQT-Set02-10-27-Mapped-AllAlgorithmLeft-Extra.csv","QCLAAR",1133,1133,1133,0,0,1.0000,1.0000,0.0000,179791.2822,1626.5665,181417.8486,181417.8486,469156.9800,0.0024,2602.5063,94
"no_stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","Lottery",5818,5818,0,5818,0,1.0000,0.0000,1.0000,7137180.1409,10701.8793,7147882.0201,7147882.0201,17043800.5700,0.0003,17123.0068,4067
"no_stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","FCFS",5818,5818,0,5818,0,1.0000,0.0000,1.0000,122201757.4023,42106.8231,122243864.2254,122243864.2254,244977497.0400,0.0000,67370.9170,3998
"no_stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","LoadAware",5818,5818,0,5818,0,1.0000,0.0000,1.0000,9494714.8954,19803.2613,9514518.1566,9514518.1566,39901714.6800,0.0001,31685.2180,3994
"no_stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","QCLAR",5818,5818,0,5818,0,1.0000,0.0000,1.0000,7109072.0762,11834.2306,7120906.3068,7120906.3068,16918449.7400,0.0003,18934.7690,3979
"no_stress","MQT-Set03-7-127-AllOpt-IBMMapped-Only127-Extra.csv","QCLAAR",5818,5818,0,5818,0,1.0000,0.0000,1.0000,7017250.0841,11783.5243,7029033.6084,7029033.6084,15757402.2400,0.0004,18853.6389,3949
"no_stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","Lottery",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,5796298.3585,9117.2625,5805415.6210,5805415.6210,16032714.1400,0.0005,14587.6200,4107
"no_stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","FCFS",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,97550567.9725,33886.1667,97584454.1392,97584454.1392,244977497.0500,0.0000,54217.8667,4164
"no_stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","LoadAware",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,7627413.6783,16174.1459,7643587.8241,7643587.8241,39901714.6900,0.0002,25878.6334,4044
"no_stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","QCLAR",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,5729227.8587,9831.3867,5739059.2454,5739059.2454,16918449.7500,0.0004,15730.2187,4051
"no_stress","MQT-Set04-7-127-AllOpt-IBMMapped-Extra.csv","QCLAAR",7315,7315,1497,5818,0,1.0000,0.2046,0.7954,5656197.0521,9791.0573,5665988.1094,5665988.1094,15757402.2500,0.0005,15665.6917,4081
